,did,mamba,xgboost
0,3,0.9788178205490112,0.9991525411605835
1,6,0.9404197931289673,0.9978542327880859
2,12,0.9505534768104553,0.9975109100341797
3,28,0.9505397081375122,0.9977761507034302
4,32,0.9110649228096008,0.9995043277740479
5,38,0.9360344409942627,0.9880726933479309
6,44,0.9780039191246033,0.9775437712669373
7,46,0.9669085144996643,0.9952144026756287
8,151,0.7896774411201477,0.8666321039199829
9,182,0.9400660395622253,0.9814271330833435
10,300,0.9125219583511353,0.9893450140953064
11,307,0.8998797535896301,0.9941418170928955
12,554,0.5748683214187622,0.5905740261077881
13,1053,0.6989672183990479,0.7199968099594116
14,1067,0.7815951108932495,0.7926692962646484
15,1461,0.8785824775695801,0.9016972184181213
16,1468,0.6353800892829895,0.7143771052360535
17,1475,0.6155402660369873,0.724989116191864
18,1478,0.9540693759918213,0.9970758557319641
19,1485,0.5501626133918762,0.5972210168838501
20,1486,0.9598473906517029,0.9845649003982544
21,1487,0.8690360188484192,0.8873917460441589
22,1489,0.808258056640625,0.9271035194396973
23,1497,0.9059889912605286,0.9985597133636475
24,1501,0.8455193638801575,0.9648930430412292
25,1590,0.8699600696563721,0.888509213924408
26,4134,0.7474130392074585,0.8362513780593872
27,4534,0.95005863904953,0.987629771232605
28,4538,0.7380645871162415,0.828700840473175
29,23517,0.5087224841117859,0.5255805253982544
30,40499,0.9091129899024963,0.9994779229164124
31,40668,0.5204764604568481,0.730604887008667
32,40670,0.8620514273643494,0.991350531578064
33,40701,0.7973813414573669,0.9006849527359009
34,40923,0.5865151286125183,0.673916220664978
35,40927,0.5592345595359802,0.6092185378074646
36,40978,0.7307629585266113,0.9326434135437012
37,40979,0.8963509202003479,0.9815528988838196
38,40983,0.9909048080444336,0.9895497560501099
39,40984,0.9599149227142334,0.9941791892051697
40,40996,0.8195960521697998,0.9136487245559692
41,41027,0.7937009334564209,0.9251340627670288
