,did,transformer,mamba,knn
0,11,0.43725359439849854,0.5,0.8678931593894958
1,14,0.4754478335380554,0.4742501974105835,0.9520420432090759
2,15,0.5399933457374573,0.44783714413642883,0.989766538143158
3,16,0.4608813524246216,0.46350225806236267,0.9869928956031799
4,18,0.4657166600227356,0.4660835564136505,0.944496750831604
5,22,0.5006386637687683,0.5008063912391663,0.957999050617218
6,23,0.5026865005493164,0.5027827620506287,0.6158844828605652
7,29,0.48243749141693115,0.45642271637916565,0.8716975450515747
8,31,0.4631442427635193,0.5086684823036194,0.6792663931846619
9,37,0.49096623063087463,0.44787341356277466,0.7939063906669617
10,50,0.42000240087509155,0.3764875531196594,0.9262531399726868
11,54,0.5030106902122498,0.5027851462364197,0.8694378733634949
12,188,0.5281768441200256,0.5282198190689087,0.7040713429450989
13,458,0.4828321039676666,0.4828621447086334,0.9999774694442749
14,469,0.4820389151573181,0.48209524154663086,0.5277979373931885
15,1049,0.5467944145202637,0.5050356388092041,0.7130926251411438
16,1050,0.5581343770027161,0.5187886953353882,0.8065871000289917
17,1063,0.44017481803894043,0.48432791233062744,0.8806509971618652
18,1068,0.3656931221485138,0.49814891815185547,0.6460304260253906
19,1510,0.5490905046463013,0.4914220869541168,0.9837226271629333
20,1494,0.4692651927471161,0.572114884853363,0.8654875159263611
21,1480,0.477142870426178,0.4496428668498993,0.5452380776405334
22,1462,0.4796992540359497,0.5400501489639282,1.0
23,1464,0.476376473903656,0.5359002947807312,0.7291666865348816
24,6332,0.5539013743400574,0.578291654586792,0.7517685294151306
25,23381,0.465524286031723,0.525397777557373,0.548551619052887
26,40966,0.514331579208374,0.514331579208374,0.9561543464660645
27,40982,0.40774619579315186,0.40774619579315186,0.8814204335212708
28,40994,0.5306458473205566,0.4631838798522949,0.8626079559326172
29,40975,0.394650399684906,0.394650399684906,0.8549975156784058
