,did,mamba
0,11,0.885897433757782
1,14,0.5688000082969665
2,15,0.9724928379058838
3,16,0.7251999974250793
4,18,0.6259999990463256
5,22,0.6
6,23,0.5163999915122985
7,29,0.860869562625885
8,31,0.7611999988555909
9,37,0.770312511920929
10,50,0.6931106686592102
11,54,0.6652482151985168
12,188,0.644021737575531
13,458,0.991428554058075
14,469,0.19949749112129211
15,1049,0.8863999962806701
16,1050,0.9024000048637391
17,1063,0.8291187763214112
18,1068,0.924399995803833
19,1462,0.9980000019073486
20,1464,0.7828876972198486
21,1480,0.7099656462669373
22,1494,0.8611999988555908
23,1510,0.9760563373565674
24,6332,0.6481481432914734
25,23381,0.5552000164985657
26,40966,0.6631999969482422
27,40975,0.8615999937057495
28,40982,0.5608000040054322
29,40994,0.9481481552124024
